[2025-11-08 22:23:20.175] [board_logger] [info] incoming json: {"file":"","file_anc":"","file_aux":"","ip_address":"","ip_address_anc":"","ip_address_aux":"","ip_port":0,"ip_port_anc":0,"ip_port_aux":0,"ip_protocol":0,"mac_address":"","master_board":-100,"other_info":"","serial_number":"","serial_port":"COM3","timeout":0}
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.289] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.290] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.291] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.292] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.293] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.294] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.295] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.296] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.297] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.298] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.299] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.300] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.301] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.302] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
[2025-11-08 22:24:17.303] [board_logger] [warning] Wrong end byte 0
